ID,Node,Source,Target,Relationship,X,Y,CycleY,Category,Order,Family,Common Names,Weight
67,Pelecaniformes,Bird,Pelecaniformes,Bird-->Pelecaniformes,0.379261776253,0.394843795212,0.394843795212,0,Pelecaniformes,0,0,100
68,Pelecaniformes,Pelecaniformes,Ardeidae,Pelecaniformes-->Ardeidae,0.379261776253,0.394843795212,0.394843795212,0,Pelecaniformes,0,0,100
68,Ardeidae,Pelecaniformes,Ardeidae,Pelecaniformes-->Ardeidae,0.317430895452,0.265645897405,0.265645897405,0,0,Ardeidae,0,50
69,Ardeidae,Ardeidae,Black-crowned Night-Heron,Ardeidae-->Black-crowned Night-Heron,0.317430895452,0.265645897405,0.265645897405,0,0,Ardeidae,0,50
69,Black-crowned Night-Heron,Ardeidae,Black-crowned Night-Heron,Ardeidae-->Black-crowned Night-Heron,0.149720422018,0.407497365672,0.407497365672,0,0,0,Black-crowned Night-Heron,20
70,Bird,Bird,Piciformes,Bird-->Piciformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
70,Piciformes,Bird,Piciformes,Bird-->Piciformes,0.569534497688,0.506531242217,0.506531242217,0,Piciformes,0,0,100
71,Piciformes,Piciformes,Picidae,Piciformes-->Picidae,0.569534497688,0.506531242217,0.506531242217,0,Piciformes,0,0,100
71,Picidae,Piciformes,Picidae,Piciformes-->Picidae,0.713694544861,0.524084430886,0.524084430886,0,0,Picidae,0,50
72,Picidae,Picidae,Northern Flicker (Red-shafted),Picidae-->Northern Flicker (Red-shafted),0.713694544861,0.524084430886,0.524084430886,0,0,Picidae,0,50
72,Northern Flicker (Red-shafted),Picidae,Northern Flicker (Red-shafted),Picidae-->Northern Flicker (Red-shafted),0.857918701625,0.613951321818,0.613951321818,0,0,0,Northern Flicker (Red-shafted),20
73,Bird,Bird,Piciformes,Bird-->Piciformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
73,Piciformes,Bird,Piciformes,Bird-->Piciformes,0.569534497688,0.506531242217,0.506531242217,0,Piciformes,0,0,100
74,Piciformes,Piciformes,Picidae,Piciformes-->Picidae,0.569534497688,0.506531242217,0.506531242217,0,Piciformes,0,0,100
74,Picidae,Piciformes,Picidae,Piciformes-->Picidae,0.713694544861,0.524084430886,0.524084430886,0,0,Picidae,0,50
75,Picidae,Picidae,Lewis's Woodpecker,Picidae-->Lewis's Woodpecker,0.713694544861,0.524084430886,0.524084430886,0,0,Picidae,0,50
75,Lewis's Woodpecker,Picidae,Lewis's Woodpecker,Picidae-->Lewis's Woodpecker,0.737827042764,0.519237754218,0.519237754218,0,0,0,Lewis's Woodpecker,20
76,Bird,Bird,Podicipediformes,Bird-->Podicipediformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
76,Podicipediformes,Bird,Podicipediformes,Bird-->Podicipediformes,0.378504477902,0.430188713828,0.430188713828,0,Podicipediformes,0,0,100
77,Podicipediformes,Podicipediformes,Podicipedidae,Podicipediformes-->Podicipedidae,0.378504477902,0.430188713828,0.430188713828,0,Podicipediformes,0,0,100
77,Podicipedidae,Podicipediformes,Podicipedidae,Podicipediformes-->Podicipedidae,0.280414125629,0.334865657566,0.334865657566,0,0,Podicipedidae,0,50
78,Podicipedidae,Podicipedidae,Pied-billed Grebe,Podicipedidae-->Pied-billed Grebe,0.280414125629,0.334865657566,0.334865657566,0,0,Podicipedidae,0,50
78,Pied-billed Grebe,Podicipedidae,Pied-billed Grebe,Podicipedidae-->Pied-billed Grebe,0.114941938823,0.486676482997,0.486676482997,0,0,0,Pied-billed Grebe,20
79,Bird,Bird,Strigiformes,Bird-->Strigiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
79,Strigiformes,Bird,Strigiformes,Bird-->Strigiformes,0.532994981749,0.643080634359,0.643080634359,0,Strigiformes,0,0,100
80,Strigiformes,Strigiformes,Strigidae,Strigiformes-->Strigidae,0.532994981749,0.643080634359,0.643080634359,0,Strigiformes,0,0,100
80,Strigidae,Strigiformes,Strigidae,Strigiformes-->Strigidae,0.572800589113,0.842474423361,0.842474423361,0,0,Strigidae,0,50
81,Strigidae,Strigidae,Northern Saw-whet Owl,Strigidae-->Northern Saw-whet Owl,0.572800589113,0.842474423361,0.842474423361,0,0,Strigidae,0,50
81,Northern Saw-whet Owl,Strigidae,Northern Saw-whet Owl,Strigidae-->Northern Saw-whet Owl,0.459774468933,1.0,1.0,0,0,0,Northern Saw-whet Owl,20
82,Bird,Bird,Strigiformes,Bird-->Strigiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
82,Strigiformes,Bird,Strigiformes,Bird-->Strigiformes,0.532994981749,0.643080634359,0.643080634359,0,Strigiformes,0,0,100
83,Strigiformes,Strigiformes,Strigidae,Strigiformes-->Strigidae,0.532994981749,0.643080634359,0.643080634359,0,Strigiformes,0,0,100
